mobile,total_spent,avg_transaction_value,max_purchase_amount,min_purchase_amount,purchase_count,first_purchase,last_purchase,days_since_first_purchase,days_since_last_purchase
916306702926,44073.6,6296.228571428571,9355.78,3729.92,7,1980-12-25,2012-04-16,16171.0,4736.0
916314597900,20000.13,5000.0325,8931.6,1952.6,4,1978-10-14,2000-01-23,16974.0,9203.0
916317234448,24810.57,4962.114,9190.67,1785.15,5,2000-08-20,2015-08-10,8993.0,3525.0
916323169889,30189.25,4312.75,9052.03,1188.02,7,1978-01-18,2015-05-13,17243.0,3614.0
916323775634,12966.15,3241.5375,7311.42,0.0,4,1985-08-08,2016-06-25,14484.0,3205.0
916323840346,5575.619999999999,1858.5399999999997,3233.64,819.18,3,1971-06-19,2018-07-25,19648.0,2445.0
916332788471,21102.539999999997,5275.634999999999,9654.06,600.03,4,1986-11-07,1999-12-31,14028.0,9226.0
916334744286,25545.6,3649.371428571428,9742.62,970.75,7,1972-09-15,2013-12-01,19194.0,4142.0
916336590217,32797.04,5466.173333333333,9473.78,1658.71,6,1978-03-31,2008-05-12,17171.0,6171.0
916340272119,27470.800000000003,4578.466666666667,9509.19,0.0,6,1973-06-01,2001-06-27,18935.0,8682.0
916347082594,27554.16,5510.832,7776.69,1972.7,5,1970-10-10,1995-10-19,19900.0,10760.0
916350492684,46652.69,7775.448333333334,9992.66,4226.51,6,1976-10-15,2020-08-08,17703.0,1700.0
916351784589,29247.78,4178.254285714285,7434.65,1873.57,7,1976-08-10,2022-03-12,17769.0,1119.0
916352116052,18373.34,6124.446666666667,8136.79,2149.7,3,1978-05-03,1978-05-03,17138.0,17138.0
916352350576,21166.12,7055.373333333333,9619.97,1992.47,3,2021-11-05,2021-11-05,1246.0,1246.0
916354813720,24958.11,3565.444285714286,5241.42,1947.85,7,1972-07-08,2024-11-18,19263.0,137.0
916363865392,28588.96,2858.8959999999997,5161.35,0.0,10,1982-07-11,2000-09-07,15608.0,8975.0
916367709135,15904.599999999999,3976.1499999999996,5240.12,1840.83,4,1971-06-05,2018-09-29,19662.0,2379.0
916368053428,46894.34,5210.482222222222,9095.59,1439.74,9,1988-06-16,2018-06-29,13441.0,2471.0
916370281126,42292.41,5286.55125,9909.37,0.0,8,1972-10-24,2023-03-23,19155.0,743.0
916371537098,21629.67,3089.952857142857,7991.03,0.0,7,1991-07-21,2023-10-20,12311.0,532.0
916378213925,33178.0,5529.666666666667,7590.92,708.93,6,1971-12-31,2019-10-14,19453.0,1999.0
916383484123,31675.6,3959.45,9577.15,391.61,8,1978-07-14,2019-01-09,17066.0,2277.0
916384230848,42945.600000000006,4771.733333333334,9159.04,764.37,9,1970-03-03,2017-03-03,20121.0,2954.0
916386757895,8091.45,2697.15,5976.54,707.6,3,1978-11-12,1983-11-05,16945.0,15126.0
916387652480,20578.9,3429.816666666667,6781.27,0.0,6,1978-05-25,2015-04-22,17116.0,3635.0
916387847884,66830.8,6683.08,9528.16,288.27,10,1979-02-10,2012-11-15,16855.0,4523.0
916388354759,37485.68,7497.136,9412.61,6036.49,5,1975-11-18,1975-11-18,18035.0,18035.0
916397129827,40776.81,4077.6809999999996,9228.15,238.21,10,1970-11-07,2009-11-21,19872.0,5613.0
916399222877,42800.32,5350.04,8840.88,0.0,8,1971-09-14,2022-04-22,19561.0,1078.0
916399707954,51808.03,5180.803,8789.17,217.38,10,1971-04-18,2024-11-06,19710.0,149.0
916401271939,22703.61,5675.9025,9812.85,543.95,4,1992-02-24,2022-11-13,12093.0,873.0
916409675904,30741.13,3842.64125,7962.89,0.0,8,1976-02-11,2022-03-06,17950.0,1125.0
916419201975,40442.25,5055.28125,7865.18,1310.25,8,1996-05-19,2023-01-28,10547.0,797.0
916422809996,33869.25,6773.85,9135.87,2517.92,5,1980-10-12,2020-11-20,16245.0,1596.0
916430372878,42383.43,4709.27,8134.97,0.0,9,1981-02-04,2010-03-18,16130.0,5496.0
916431494396,30047.44,5007.906666666667,9845.47,0.0,6,1978-11-10,2017-05-21,16947.0,2875.0
916433705141,50867.67,7266.8099999999995,9846.43,4181.89,7,1978-01-25,2025-03-24,17236.0,11.0
916441128454,56605.6,7075.7,9648.66,1442.25,8,1977-04-13,2021-11-03,17523.0,1248.0
916441973220,48124.75,4812.475,8335.03,101.45,10,1973-01-22,2023-05-04,19065.0,701.0
916444900634,35098.61,5849.768333333333,8777.37,0.0,6,1973-03-21,2015-11-08,19007.0,3435.0
916444961037,27007.399999999998,5401.48,9411.15,2340.69,5,2008-12-20,2019-03-16,5949.0,2211.0
916446362270,48268.94,6895.562857142858,9339.95,1751.39,7,1972-07-14,2019-07-24,19257.0,2081.0
916446457642,53498.36,5349.836,9815.67,635.18,10,1970-10-20,2024-07-17,19890.0,261.0
916469306919,44010.89,6287.2699999999995,8889.52,1067.92,7,1979-01-18,2024-07-18,16878.0,260.0
916486237535,44252.54,4916.948888888889,8696.45,2110.24,9,1988-01-06,2009-11-01,13603.0,5633.0
916487258103,6462.66,1077.11,4095.31,0.0,6,1976-06-10,2019-02-26,17830.0,2229.0
916488842470,15679.949999999999,3135.99,7120.65,458.64,5,1982-10-28,1993-04-08,15499.0,11684.0
916491404673,53291.46,5921.2733333333335,9825.67,265.64,9,1973-07-22,2016-10-10,18884.0,3098.0
916496107065,74697.47,8299.718888888889,9538.43,5173.33,9,1986-07-18,2016-08-17,14140.0,3152.0
916504513251,18015.059999999998,3002.5099999999998,6262.73,0.0,6,1970-09-08,2009-10-06,19932.0,5659.0
916507771858,46931.72,5214.635555555556,9365.77,0.0,9,1970-06-11,2023-04-01,20021.0,734.0
916508119378,37853.69,4731.71125,9171.07,234.6,8,1972-03-04,2014-06-08,19389.0,3953.0
916512620717,45759.990000000005,5084.443333333334,9116.53,0.0,9,1975-06-18,2020-04-19,18188.0,1811.0
916513483708,27346.190000000002,4557.698333333334,9563.37,0.0,6,1984-05-13,2021-03-30,14936.0,1466.0
916518599264,19291.58,3215.263333333334,7932.07,269.74,6,1979-01-01,2014-12-30,16895.0,3748.0
916530836767,44663.24,4466.324,9075.21,0.0,10,1974-02-10,2019-09-01,18681.0,2042.0
916542223599,14015.29,3503.8225,5042.06,1805.66,4,1971-03-25,2015-11-25,19734.0,3418.0
916546951552,33799.19,4828.455714285715,9352.13,985.04,7,1983-03-07,2019-09-13,15369.0,2030.0
916546957087,21603.57,3600.595,7135.97,264.11,6,1971-03-23,2021-12-27,19736.0,1194.0
916551395583,36680.59,3668.0589999999997,9684.67,0.0,10,1970-03-09,2023-04-08,20115.0,727.0
916551437149,18961.56,6320.52,8140.52,5217.17,3,1996-05-04,2012-11-02,10562.0,4536.0
916560448350,19079.39,3815.8779999999997,8501.15,0.0,5,1980-11-08,2018-10-21,16218.0,2357.0
916561160362,16547.62,4136.905,5539.8,1076.05,4,1995-05-12,2019-10-05,10920.0,2008.0
916561387824,35875.47,3986.1633333333334,8253.64,1335.84,9,1972-05-09,2020-08-11,19323.0,1697.0
916566862173,32604.77,5434.128333333333,9941.84,820.14,6,1998-03-31,2017-08-16,9866.0,2788.0
916569113257,38433.97,3843.397,8107.67,1092.82,10,1970-10-27,2022-05-08,19883.0,1062.0
916569132884,35133.93,5019.132857142858,7863.95,0.0,7,1988-07-08,2021-04-23,13419.0,1442.0
916573673552,17732.39,4433.0975,7418.55,240.41,4,1972-01-27,2012-01-12,19426.0,4831.0
916574621243,22886.1,5721.525,7486.78,2685.4,4,1990-02-14,2025-01-22,12833.0,72.0
916575301286,47506.91,5278.545555555556,9563.17,0.0,9,1970-02-05,2023-05-03,20147.0,702.0
916586055431,15856.5,3171.3,4884.27,645.27,5,1971-07-16,2011-08-18,19621.0,4978.0
916589112843,33251.369999999995,8312.842499999999,9253.29,5955.37,4,1989-07-15,2020-04-23,13047.0,1807.0
916589582865,37317.19,7463.438,9039.88,4243.84,5,1971-09-21,1989-09-11,19554.0,12989.0
916592135522,43256.75,6179.535714285715,9226.58,1158.43,7,1999-12-09,2018-09-22,9248.0,2386.0
916596110070,16079.539999999999,2679.923333333333,5301.62,162.23,6,1970-04-02,2018-01-18,20091.0,2633.0
916597769760,9371.24,1561.8733333333332,2955.77,0.0,6,1981-10-17,2020-08-05,15875.0,1703.0
916604058666,36622.99,6103.831666666666,9577.96,0.0,6,1980-11-15,2023-02-23,16211.0,771.0
916619986018,45095.380000000005,6442.197142857143,9924.48,2432.82,7,1974-06-06,2022-08-03,18565.0,975.0
916627920145,40271.229999999996,4474.581111111111,7184.51,0.0,9,1985-07-23,2019-02-11,14500.0,2244.0
916632880459,24953.87,4990.773999999999,9066.88,200.4,5,1972-05-12,2024-05-05,19320.0,334.0
916634323009,14968.730000000001,4989.576666666667,6832.31,1771.78,3,1987-02-14,1992-01-16,13929.0,12132.0
916642708893,22648.57,3774.7616666666668,7513.97,867.18,6,1976-09-03,1999-11-24,17745.0,9263.0
916643611097,26453.39,5290.678,8868.46,878.07,5,1970-09-04,2024-10-11,19936.0,175.0
916649101302,30308.21,3367.5788888888887,9255.82,0.0,9,1970-04-16,2007-07-31,20077.0,6457.0
916650392310,21342.269999999997,3557.0449999999996,9668.97,0.0,6,1972-12-20,2020-09-12,19098.0,1665.0
916656293602,27131.79,4521.965,7651.43,150.86,6,1976-12-20,2024-04-02,17637.0,367.0
916660370908,21138.14,5284.535,9563.77,588.62,4,1970-03-18,2014-04-22,20106.0,4000.0
916662259333,35141.06,3514.1059999999998,8940.38,0.0,10,1973-08-11,2015-10-19,18864.0,3455.0
916662510569,45633.64,5070.404444444444,8820.7,1001.02,9,1972-11-04,2024-10-15,19144.0,171.0
916662614186,50304.44,5589.3822222222225,9176.41,2153.6,9,1984-06-05,2013-10-05,14913.0,4199.0
916667643690,46716.25,5190.694444444444,9945.33,911.45,9,1977-07-06,2018-05-14,17439.0,2517.0
916672302490,10388.960000000001,3462.986666666667,5111.27,2443.06,3,1990-05-14,2024-05-20,12744.0,319.0
916685731524,31034.620000000003,4433.517142857143,9434.04,438.61,7,1978-11-12,2023-01-17,16945.0,808.0
916707196784,34821.78,6964.356,9961.82,2496.65,5,1996-11-23,2014-09-12,10359.0,3857.0
916717100421,25672.67,6418.1675,7793.5,5380.89,4,1998-07-13,2001-12-05,9762.0,8521.0
916717967293,31223.399999999998,3902.9249999999997,9397.63,0.0,8,1972-03-17,2011-08-13,19376.0,4983.0
916720648887,18152.89,3630.578,7809.47,0.0,5,1973-11-18,2007-06-27,18765.0,6491.0
916724156214,62527.740000000005,6252.774,9852.02,1168.75,10,1973-03-14,2022-12-23,19014.0,833.0
916724301196,20082.55,6694.183333333333,7236.81,6031.98,3,1990-11-14,2017-06-24,12560.0,2841.0
916728353118,26069.219999999998,5213.843999999999,9425.21,843.36,5,1987-07-26,2018-12-20,13767.0,2297.0
916732343731,34633.87,4329.23375,9695.58,699.29,8,1976-11-15,2016-11-05,17672.0,3072.0
916733718685,9005.130000000001,2251.2825000000003,6063.43,0.0,4,1996-01-06,2022-01-28,10681.0,1162.0
916736086849,21254.95,5313.7375,9496.69,1187.6,4,1991-08-12,2015-12-22,12289.0,3391.0
916741134891,58834.06,7354.2575,9948.24,4455.76,8,1980-09-30,2010-01-30,16257.0,5543.0
916742201314,34752.09,6950.418,9955.16,4252.13,5,1979-01-10,2024-07-12,16886.0,266.0
916749270915,29683.02,3710.3775,7404.67,0.0,8,1987-10-09,2024-08-28,13692.0,219.0
916751917162,41137.31,4113.731,9148.32,203.03,10,1982-04-08,2022-06-04,15702.0,1035.0
916752002052,30058.550000000003,4294.078571428572,8846.2,1997.88,7,1973-01-30,2017-07-17,19057.0,2818.0
916769945233,29767.519999999997,4252.502857142857,9824.81,1285.87,7,1973-06-05,2016-01-03,18931.0,3379.0
916778508164,19998.73,6666.243333333333,8851.28,3275.16,3,1991-11-05,2017-07-04,12204.0,2831.0
916779130936,19444.010000000002,4861.0025000000005,9646.17,615.84,4,1973-03-27,1998-02-27,19001.0,9898.0
916782878018,42818.259999999995,4757.584444444444,8622.05,129.53,9,1971-12-21,2023-01-31,19463.0,794.0
916789711774,29829.399999999998,7457.349999999999,9656.08,4036.32,4,1973-11-16,2018-08-11,18767.0,2428.0
916802986386,20848.18,4169.636,8682.62,1499.19,5,1975-07-11,2007-08-06,18165.0,6451.0
916808155185,21540.93,3590.155,5829.01,1214.65,6,1980-12-20,2022-08-14,16176.0,964.0
916808457424,60184.78,7523.0975,9733.17,1467.05,8,1970-02-05,2024-04-24,20147.0,345.0
916809283659,36742.41,6123.735000000001,9673.51,1886.61,6,1984-08-09,2014-04-02,14848.0,4020.0
916809517372,31102.17,6220.433999999999,9484.76,1902.74,5,1990-08-13,2023-06-17,12653.0,657.0
916815976168,35507.91,3945.3233333333337,9316.05,0.0,9,1989-07-30,2024-05-18,13032.0,321.0
916816145550,44345.47,5543.18375,9132.0,810.88,8,1970-01-19,2021-11-13,20164.0,1238.0
916822662216,40146.63,5018.32875,9226.71,1011.37,8,1971-07-01,2011-03-06,19636.0,5143.0
916824341906,25533.809999999998,3647.6871428571426,8350.4,911.02,7,1988-04-08,2023-12-29,13510.0,462.0
916826834424,38791.27,4848.90875,9663.14,0.0,8,1986-08-02,2024-07-15,14125.0,263.0
916829621429,34153.01,5692.168333333334,9520.05,2572.37,6,1976-10-11,2011-12-06,17707.0,4868.0
916832810061,26712.99,3816.1414285714286,7883.06,0.0,7,1977-08-24,2020-02-26,17390.0,1864.0
916838070464,24808.56,6202.14,8543.79,626.28,4,2008-03-03,2013-03-11,6241.0,4407.0
916843828285,38957.75,4328.638888888889,6887.14,1022.4,9,1975-09-29,2012-03-15,18085.0,4768.0
916853180912,11653.87,3884.6233333333334,4717.13,2409.65,3,1974-06-22,1999-11-25,18549.0,9262.0
916854316681,38916.880000000005,6486.146666666667,9262.95,3142.58,6,1974-10-27,2024-09-28,18422.0,188.0
916865826728,40942.979999999996,4094.298,7999.87,0.0,10,1985-07-26,2017-04-21,14497.0,2905.0
916866179751,32863.15,4107.89375,7379.78,622.43,8,1981-11-01,2025-02-12,15860.0,51.0
916873324617,58988.78,5898.878,9931.77,1054.07,10,1974-10-13,2022-12-16,18436.0,840.0
916874443787,43094.76,6156.394285714286,9126.41,1419.96,7,1976-09-24,2023-01-06,17724.0,819.0
916888488384,42909.5,4290.95,8635.78,1004.5,10,1970-08-24,2025-01-23,19947.0,71.0
916888812214,37456.25,6242.708333333333,9440.97,1085.66,6,1973-04-04,2018-05-11,18993.0,2520.0
916891790792,8227.48,2742.4933333333333,3873.27,534.77,3,1991-06-13,2024-01-08,12349.0,452.0
916897171779,46388.81,6626.972857142857,9936.57,2365.56,7,1975-02-06,2023-01-16,18320.0,809.0
916902727745,66761.98,7417.997777777778,9922.49,4839.15,9,1971-12-25,2006-12-22,19459.0,6678.0
916906164396,21576.37,5394.0925,7971.31,252.9,4,2017-10-03,2019-03-28,2740.0,2199.0
916915490795,28968.32,3621.04,9832.46,136.74,8,1971-03-06,2025-01-23,19753.0,71.0
916923988689,28034.55,2803.455,7087.53,0.0,10,1983-09-09,2019-07-02,15183.0,2103.0
916939042955,46178.759999999995,4617.875999999999,9365.06,0.0,10,1970-09-21,2021-05-20,19919.0,1415.0
916941975480,40944.41,4094.4410000000003,8181.67,0.0,10,1971-09-25,2019-03-04,19550.0,2223.0
916943239974,12656.630000000001,4218.876666666667,8054.84,928.45,3,2010-01-08,2010-01-08,5565.0,5565.0
916948277118,42331.19,4703.4655555555555,8391.14,1855.72,9,1973-07-10,2021-12-07,18896.0,1214.0
916949324089,29929.14,4275.591428571429,8599.16,583.83,7,1973-11-04,2008-12-27,18779.0,5942.0
916954571559,27352.760000000002,3907.537142857143,7872.09,0.0,7,1971-08-01,2015-11-03,19605.0,3440.0
916955345537,41324.6,5903.5142857142855,8351.18,1708.5,7,2002-02-04,2015-08-30,8460.0,3505.0
916961084962,18675.350000000002,3112.558333333334,8516.2,347.09,6,1970-05-02,2017-01-31,20061.0,2985.0
916963110410,25838.87,3229.85875,5986.91,330.08,8,1970-09-12,2024-12-22,19928.0,103.0
916963124353,18120.91,3624.182,7165.62,310.43,5,2009-12-12,2009-12-12,5592.0,5592.0
916981049082,37179.27,6196.544999999999,8592.01,3516.53,6,1972-09-12,2022-07-19,19197.0,990.0
916983753977,46839.54,4683.954,9405.23,671.54,10,1988-02-01,2023-06-08,13577.0,666.0
916994167107,32038.46,6407.692,9809.56,386.63,5,1977-02-11,2016-05-08,17584.0,3253.0
916997050893,14564.66,4854.886666666666,7357.91,2977.14,3,1988-02-03,2002-08-17,13575.0,8266.0
916999705716,44110.32,6301.4742857142855,9944.89,1947.72,7,1982-09-11,2020-12-14,15546.0,1572.0
917000721711,23896.730000000003,3413.818571428572,9597.87,1050.96,7,1975-02-08,2020-09-23,18318.0,1654.0
917006479526,33394.22,5565.703333333334,8966.79,3024.84,6,2001-11-19,2024-05-11,8537.0,328.0
917012074766,57697.619999999995,6410.846666666666,9930.89,0.0,9,1974-12-24,2022-07-03,18364.0,1006.0
917013592436,49580.51,5508.945555555556,9789.12,0.0,9,1972-09-10,2007-05-07,19199.0,6542.0
917014096062,39494.83,4388.314444444444,9873.17,1030.87,9,1976-12-11,2010-08-27,17646.0,5334.0
917020657023,20761.88,6920.626666666667,8483.95,4194.85,3,2002-03-16,2006-06-19,8420.0,6864.0
917025985237,10594.289999999999,3531.43,7078.24,1603.94,3,1970-10-01,2013-11-19,19909.0,4154.0
917027774780,30500.690000000002,5083.448333333334,8676.68,1175.33,6,1990-02-13,2021-10-08,12834.0,1274.0
917027918636,7706.84,1926.71,6486.84,0.0,4,1992-01-17,2015-11-05,12131.0,3438.0
917032089545,22860.63,5715.1575,9537.99,3497.4,4,1983-01-05,2007-07-19,15430.0,6469.0
917034356087,41776.299999999996,5968.0428571428565,8865.39,1669.61,7,1970-06-21,2017-03-23,20011.0,2934.0
917039116218,15352.63,2558.7716666666665,9543.11,0.0,6,1979-02-28,2025-02-21,16837.0,42.0
917039116361,49998.55,4999.8550000000005,8899.88,1400.77,10,1988-02-06,2013-03-22,13572.0,4396.0
917041929790,36869.11,6144.8516666666665,9952.64,1644.57,6,1976-04-23,2018-07-03,17878.0,2467.0
917051802512,28437.879999999997,4062.5542857142855,6884.15,328.02,7,1976-04-12,2023-10-10,17889.0,542.0
917052811909,34004.29,3778.2544444444447,9174.06,196.72,9,1970-05-03,2018-07-05,20060.0,2465.0
917059096258,40526.72,5789.5314285714285,9672.95,1017.81,7,1974-02-16,2024-10-13,18675.0,173.0
917063239503,16212.849999999999,4053.2124999999996,9852.39,0.0,4,1979-04-02,2004-05-11,16804.0,7633.0
917064746525,31048.66,5174.776666666667,9442.28,1981.37,6,1971-07-17,2008-09-14,19620.0,6046.0
917065354117,49651.78,5516.864444444444,8189.93,2666.19,9,1970-01-05,2020-04-26,20178.0,1804.0
917066091571,33104.84,5517.473333333332,9988.25,1819.85,6,1980-05-27,2022-06-17,16383.0,1022.0
917078557553,33923.29,3392.329,8677.75,230.51,10,1976-10-31,2013-11-12,17687.0,4161.0
917087974350,43800.759999999995,4866.751111111111,9255.47,0.0,9,1975-12-05,2015-11-01,18018.0,3442.0
917111626210,48086.88,4808.688,9750.07,0.0,10,1984-07-18,2017-02-02,14870.0,2983.0
917117407868,37065.82,4118.424444444445,9925.55,630.77,9,1970-05-20,2022-03-04,20043.0,1127.0
917119980130,23497.29,5874.3225,7209.57,4171.56,4,2002-03-21,2016-07-05,8415.0,3195.0
917120016279,28807.34,3600.9175,8150.04,0.0,8,1976-12-04,2007-08-14,17653.0,6443.0
917123362233,44211.97,6315.995714285715,9986.79,2305.68,7,1975-05-01,2002-07-17,18236.0,8297.0
917131247330,12144.650000000001,2024.1083333333336,8734.12,0.0,6,1987-12-08,2021-01-30,13632.0,1525.0
917136646449,37202.33,4133.5922222222225,9368.09,0.0,9,1970-02-17,2021-06-10,20135.0,1394.0
917137651678,43127.229999999996,5390.9037499999995,9508.57,1462.15,8,1970-09-19,2011-03-03,19921.0,5146.0
917138264176,41390.26,4598.917777777778,7854.37,972.55,9,1972-05-02,2022-12-09,19330.0,847.0
917139078760,46222.2,4622.219999999999,8592.39,635.66,10,1971-09-23,2015-03-29,19552.0,3659.0
917140169349,8748.79,1749.7580000000003,4018.84,0.0,5,1986-03-26,2006-02-16,14254.0,6987.0
917146660997,20681.55,3446.9249999999997,6732.78,1089.19,6,1972-08-14,2012-06-05,19226.0,4686.0
917146731886,14399.710000000001,4799.903333333334,8879.85,0.0,3,2017-05-31,2018-03-29,2865.0,2563.0
917146997816,32602.600000000002,3622.5111111111114,8152.25,0.0,9,1982-02-14,2020-09-17,15755.0,1660.0
917148782098,40287.299999999996,5755.328571428571,9937.64,1912.61,7,1971-11-10,2023-05-07,19504.0,698.0
917152750071,42164.35,5270.54375,7927.09,1585.89,8,1974-01-20,2016-04-20,18702.0,3271.0
917152798401,44728.83,6389.832857142857,9399.85,609.99,7,2002-12-23,2024-11-04,8138.0,151.0
