name,age,income,mobile,gender
Udant Bajwa,27.0,1241650.58,+916656293602,Other
Chakradev Barad,31.0,1399596.62,+917251258015,Other
Kevin Kara,69.0,625319.38,+916569132884,Other
Umang Issac,,186058.63,+917804138557,Female
Laksh Saini,58.0,238903.56,+918499200634,Other
Ijaya Soni,70.0,310186.59,+919399425369,Male
Ojasvi Bhatia,66.0,1549004.28,+919748302739,Male
Ekalinga Mital,19.0,645151.46,+919758871860,Male
Panini Krishna,70.0,1989512.48,+916634323009,Male
Jatin Sha,37.0,2907935.05,+918999948589,Other
Indali Sangha,61.0,161752.93,+919150801944,Male
Chavvi Maharaj,35.0,2502137.26,+918676802207,Other
Jacob Khalsa,18.0,2692218.22,+919250636259,Other
Dalaja Kaur,35.0,2653655.28,+916399222877,Female
Maanas Manne,66.0,855276.47,+919241581669,Other
Janya Gaba,43.0,913061.5,+916906164396,Other
Yash Wali,53.0,2525059.48,+919462603446,Female
Meera Prakash,35.0,2477009.37,+917687643539,Female
Jeet Vasa,69.0,2828178.95,+916769945233,Male
Yashica Rajagopalan,50.0,548375.81,+918633107545,Female
Yatan Merchant,24.0,650944.96,+918605446007,Male
Azaan Dhar,37.0,2593992.53,+916619986018,Female
Robert Rajagopalan,39.0,2015138.74,+916954571559,Female
Ishaan Iyengar,43.0,2722915.02,+919067919621,Male
Jyoti Narula,33.0,2024164.69,+917524751277,Male
Ekani Chauhan,64.0,1791914.46,+918480235438,Other
Dipta Sarin,42.0,1107969.2,+918916892179,Female
Ladli Karpe,54.0,1349461.07,+918346582107,Other
Samar Lalla,29.0,1904217.51,+917292569882,Female
Zayan Kashyap,52.0,1233026.78,+917360049298,Other
Darpan Rao,57.0,708376.18,+916518599264,Female
Lila Prakash,49.0,409183.69,+918192045446,Female
Damyanti Mani,32.0,1493709.07,+918660933507,Other
Avni Ramaswamy,48.0,1782235.73,+917012074766,Female
Chanakya Konda,50.0,2774635.85,+919470591645,Male
Aryan Narang,65.0,2991917.72,+919918934263,Other
Tara Dhar,39.0,467923.69,+917867302554,Male
Raksha Varughese,23.0,2790145.9,+919645120421,Male
Om Naik,36.0,1449389.99,+918234621711,Other
Mitesh Sampath,64.0,2755395.72,+916287814151,Male
Isha Ghose,20.0,2944680.88,+917391874847,Male
Neelima Sarna,43.0,1821345.91,+919278022672,Other
Jacob Merchant,45.0,2500815.8,+918124784519,Female
Sudiksha Madan,43.0,2002034.46,+919658304095,Female
Balveer Kota,58.0,225944.39,+918038349447,Female
David Devi,48.0,428225.64,+919100940360,Other
Vinaya Kanda,33.0,1740508.15,+917787453807,Other
Rayaan Mangal,18.0,2305111.33,+917281459294,Female
Siddharth Zacharia,33.0,2642284.97,+916323775634,Female
Tamanna Jhaveri,70.0,1310435.53,+918080741273,Other
Karan Aurora,57.0,164965.92,+916340272119,Male
Girik Menon,49.0,2899749.65,+916542223599,Other
Garima Chandran,,1161193.21,+919604432125,Male
Omisha Mann,49.0,2683641.11,+918343237444,Female
Kai Chad,38.0,2876553.65,+917974239820,Other
Rudra Rattan,30.0,476674.25,+918881828165,Other
Nakul Ray,18.0,1531135.42,+916838070464,Female
Amrita Naidu,49.0,2808061.22,+917253535854,Other
Michael Dutta,56.0,1073844.76,+916083651970,Male
Yashvi Hari,28.0,2468411.86,+918481146933,Other
Pranit Kala,37.0,2347846.67,+919027526473,Male
Ishwar Gade,49.0,2911807.42,+918018679284,Female
Barkha Mukhopadhyay,36.0,1429122.53,+918931997465,Male
Nakul Sarma,52.0,2107542.87,+919186651306,Other
Tejas Tiwari,70.0,1291658.16,+918947572742,Other
Neelima Butala,44.0,282526.03,+918719747078,Other
Balhaar Memon,59.0,2896780.32,+917608297407,Female
Shravya Savant,32.0,1880135.24,+917513206988,Male
Jeet Pillai,40.0,592095.91,+916809517372,Other
Gayathri Deep,69.0,567456.95,+916180674181,Female
Kiaan Shetty,30.0,837864.74,+917745595491,Female
Yuvraj Dani,18.0,1762897.7,+918945486396,Other
Faqid Dhaliwal,22.0,1089618.65,+918396433758,Other
Logan Suresh,37.0,2505202.06,+918993068140,Other
Eiravati Nagi,57.0,1885172.35,+917328390707,Other
Quincy Biswas,19.0,661177.89,+919970642689,Female
Ikbal Kothari,55.0,2311375.56,+916430372878,Male
Charvi Dara,62.0,484634.88,+919934750046,Female
Bachittar Kata,34.0,2755039.52,+918069520666,Female
Elijah Bhasin,54.0,835345.75,+919584796846,Female
Pushti Magar,29.0,1586096.3,+918982047218,Other
Hritik Palla,19.0,556921.48,+918609505739,Other
Brijesh Pandit,40.0,2833521.27,+918883394191,Female
Daksha Gala,51.0,574357.83,+916824341906,Other
Atharv Chand,62.0,2846026.14,+917800135697,Other
Logan Grover,60.0,1171716.83,+917289326948,Male
Zaid Dara,56.0,2148373.69,+917186564497,Other
Warinder Bhatia,65.0,942943.21,+919768049371,Female
Triya Kumar,57.0,1461276.17,+918961852565,Female
Raksha Buch,20.0,1017439.07,+918115806625,Male
Ayush Hora,54.0,2592766.88,+918780475472,Male
Nirja Pandya,46.0,1867471.64,+917830154607,Male
Arya Shere,69.0,2013832.51,+916033599984,Other
Rajeshri Khare,29.0,2231909.79,+916551395583,Male
Noah Sarma,48.0,759862.4,+919556025499,Other
Tanveer Pandit,33.0,1780087.23,+916728353118,Other
Girik Rau,44.0,1416295.72,+916530836767,Other
Udarsh Bala,54.0,2072043.25,+916829621429,Male
Geetika Raghavan,30.0,1361646.05,+918338877621,Male
Libni Doshi,59.0,1736708.3,+918615613239,Other
Nikita Narayanan,21.0,1727073.06,+918995384868,Male
Jai Sami,54.0,2083420.44,+916778508164,Other
Girik Nair,20.0,990489.55,+917368878709,Female
Krisha Narasimhan,40.0,2076225.44,+919726547274,Other
Victor Kannan,68.0,1446773.85,+917816803306,Other
Tanmayi Dhillon,32.0,1329368.68,+919553738511,Female
Teerth Bhardwaj,68.0,2920759.36,+916171347175,Female
Mekhala Brar,30.0,1981559.7,+919423939099,Other
Leena Dey,55.0,2356944.52,+919635607734,Other
Theodore Devi,58.0,1596839.21,+916854316681,Male
Krish Munshi,35.0,894268.69,+919054124492,Other
Ekansh Singh,36.0,359565.49,+918165761020,Female
Wridesh Jhaveri,44.0,1357189.42,+917727768349,Male
Saanvi Samra,68.0,1180252.72,+916963110410,Male
Varenya Kala,70.0,2069728.26,+919438608304,Female
Nidra Thakkar,,2572802.78,+919417410681,Other
Tripti Babu,60.0,2734608.13,+919587294825,Other
Chandran Bumb,28.0,2178655.95,+919982828212,Other
Urvashi Kulkarni,52.0,1270217.1,+916546951552,Other
Laksh Barad,23.0,1292374.75,+916409675904,Male
Manthan Lata,52.0,1446140.18,+918889775885,Other
Ayush Batra,,2844173.65,+919295741120,Male
Gauri Bumb,65.0,2223095.98,+919031281545,Male
Qushi Gill,34.0,709460.47,+918365845882,Female
Yuvraj Saha,21.0,2790481.71,+917664534549,Female
Zashil Ben,52.0,2255256.59,+919652152841,Male
Ikshita Mahal,66.0,2155715.27,+919418828570,Male
Kavya Sankar,29.0,518179.25,+918287423767,Other
Ekavir Wable,70.0,785316.63,+917951890759,Female
Ganga Sandhu,46.0,656113.53,+919738686447,Female
Christopher Amble,67.0,1721214.81,+918524521602,Male
Indira Misra,43.0,1551477.7,+918478286982,Other
Vrinda Swaminathan,40.0,2899208.96,+916891790792,Female
Chandresh Mannan,63.0,2384087.3,+916662614186,Other
Hemang Jha,66.0,1912099.71,+918039496086,Other
Ekavir Varkey,21.0,2281730.35,+916245522987,Male
Ucchal Jani,62.0,2213866.17,+918150888898,Other
Teerth Sawhney,30.0,1198346.73,+918449932632,Female
Logan Grover,60.0,1171716.83,+917289326948,Male
Amara Narayan,27.0,1795662.76,+917154131362,Other
Samar Roy,39.0,1447698.01,+916888488384,Other
Saanvi Thaman,33.0,2118236.62,+918774131811,Other
Indira Tripathi,26.0,2928986.02,+917691803583,Female
Anusha Chander,20.0,2578908.75,+917547110201,Other
Tanish Mangal,34.0,1174987.16,+919791648448,Female
Frederick Chander,51.0,910153.98,+916354813720,Other
Faras Choudhury,35.0,416018.96,+917548058189,Female
Krish Rama,29.0,2803806.22,+919682870880,Male
Nihal Shere,53.0,1686085.28,+919208399878,Other
George Wason,54.0,1212503.28,+918156249415,Other
Ikbal Gala,35.0,1199802.99,+917993803105,Other
Oni Kapur,68.0,2420975.9,+918989849148,Female
Riya Sachdeva,68.0,545799.09,+919394626443,Female
Meghana Natarajan,48.0,1543925.91,+918839145425,Female
Sachi Mane,55.0,831953.89,+916218035843,Other
Christopher Setty,70.0,493692.29,+919695133408,Female
Kai Chadha,21.0,1643241.58,+919603771733,Male
Ati Bali,32.0,1671931.78,+917329154472,Female
Triya Bedi,38.0,1534704.51,+917410235649,Other
Ekantika Mander,34.0,2519771.64,+916866179751,Female
Guneet Sarkar,39.0,1010030.69,+916586055431,Male
Yashica Cherian,51.0,1436735.5,+917064746525,Male
Lajita Mall,67.0,2361599.75,+916983753977,Male
Lekha Gupta,47.0,2770693.62,+918672573305,Other
Harinakshi Grover,19.0,835898.94,+916289012242,Male
Mohammed Gupta,45.0,513219.73,+917323959527,Female
Neel Iyengar,21.0,2737620.33,+916384230848,Other
Jasmit Dhawan,54.0,719430.14,+918343459102,Male
Irya Sampath,54.0,1639930.74,+917119980130,Male
Daksha Kibe,47.0,263830.68,+919988427908,Female
Tripti Dua,58.0,1885284.25,+917027774780,Other
Teerth Bhalla,22.0,1033983.06,+917878988236,Other
Veda Handa,53.0,1365152.74,+917984507492,Male
Henry Merchant,61.0,429919.56,+919731897202,Male
Yahvi Mann,33.0,315031.94,+916370281126,Female
Falak Divan,46.0,1237028.69,+919530988694,Other
Ijaya Pandey,56.0,1885792.8,+917281944343,Other
Wakeeta Desai,37.0,2643208.06,+916138428506,Female
Daksha Mangat,65.0,2197318.1,+919340590688,Male
Gavin Ahluwalia,39.0,1422895.31,+917139078760,Male
Ekani Iyer,35.0,1758102.78,+916649101302,Other
Nimrat Bajwa,38.0,1647375.94,+916789711774,Other
Kashvi Edwin,21.0,802484.08,+919888749350,Male
Rajata Sunder,57.0,793208.34,+918244431947,Female
Fariq Kaul,58.0,2111261.58,+916943239974,Other
Garima Sani,44.0,902789.4,+918812291645,Female
Qadim Prakash,69.0,2458582.58,+917735589535,Other
Charvi Dara,25.0,2915026.47,+917735918651,Other
Yasti Rama,26.0,2205657.11,+918814924004,Female
Oni Swamy,59.0,175090.53,+918873068834,Female
Jeremiah Mitter,23.0,1305043.15,+917619930972,Other
Inaya Kapur,46.0,504407.93,+918957849462,Female
Warjas Gaba,69.0,1474233.23,+918281194061,Other
Parth Singhal,57.0,1313130.27,+917201474778,Male
Hiral Andra,50.0,1335404.04,+918306551869,Female
Advik Manne,22.0,1124153.37,+919813635764,Female
Ekapad Walia,64.0,304387.88,+918806569935,Other
Lajita Dube,33.0,1138408.86,+917372322277,Male
Indrajit Mani,43.0,2105309.82,+919964710116,Other
Anamika Kanda,55.0,1288291.44,+916941975480,Male
Upasna Srinivas,60.0,176782.68,+919455872736,Female
Ria Sagar,52.0,1095430.04,+919245317068,Other
Darsh Rau,37.0,1453090.03,+919990103355,Male
Anika Brahmbhatt,61.0,1041063.85,+918371357111,Male
Vaishnavi Bora,45.0,651990.34,+918240885202,Other
Jai Kota,49.0,1521871.49,+919713645169,Female
Fitan Tata,60.0,837285.47,+918292179207,Other
Hemangini Lalla,,2957881.33,+919673561638,Male
Yuvraj Parekh,28.0,538687.16,+917679300279,Other
Dominic Kakar,,1657975.88,+918376087131,Male
Upkaar Mital,40.0,1517100.65,+919356238229,Female
Amrita Peri,29.0,1043230.1,+916249166485,Male
Noah Ben,26.0,1086683.35,+919841966874,Female
Nidhi Kohli,39.0,2628645.89,+919754619063,Female
Rachita Thakkar,36.0,198856.4,+919492483651,Other
Bahadurjit Patla,65.0,2703248.78,+917931591531,Other
Rachita Rana,62.0,1814884.31,+918429027360,Other
Jagrati Srinivasan,52.0,1495496.26,+919329446784,Male
Balhaar Parsa,44.0,470678.7,+916642708893,Male
Aarav Puri,32.0,2040503.26,+917421919938,Female
Aarini Grewal,63.0,1889246.14,+917838963536,Male
Mekhala Pau,34.0,2212640.92,+918819921250,Other
Ekansh Balay,36.0,770447.56,+916251183830,Other
Aishani Pau,56.0,1907506.06,+917966500767,Male
Hemani Khosla,53.0,1467778.17,+919465675062,Female
Nakul Sastry,27.0,2855921.14,+919348039631,Other
Jagvi Varghese,33.0,1346475.15,+916257247382,Male
Yauvani Reddy,24.0,2512099.89,+919387569514,Other
Daksh Kanda,68.0,1179566.39,+918017235435,Female
Jyoti Solanki,47.0,2208964.91,+917760844750,Other
Girish Tiwari,41.0,1615780.83,+918185002745,Female
Yashodhara Mahajan,24.0,2410323.87,+916491404673,Other
Darika Sheth,64.0,2304487.7,+918515167269,Male
Leela Keer,63.0,1067975.63,+917063239503,Other
Oeshi Hayer,69.0,2770910.32,+919327059683,Female
Yasti Solanki,62.0,440418.72,+919317780148,Female
Azad Chander,54.0,1581820.78,+917668084889,Female
Ekani Mangal,63.0,2543691.64,+918098948446,Male
Chavvi Khurana,70.0,1937594.7,+919582467100,Other
Anvi Anand,58.0,1050995.85,+917888766939,Male
Quincy Sankaran,62.0,407616.98,+916117898946,Female
Quincy Rai,62.0,2853789.76,+917681915310,Other
Fitan Loyal,24.0,2819560.21,+916604058666,Female
Amrita Tailor,24.0,1093619.55,+916815976168,Female
Ojasvi Gill,46.0,444980.35,+919861720326,Female
Qasim Handa,33.0,1948808.9,+919955360367,Female
Yashica Issac,19.0,1827054.33,+916030884438,Male
Adweta Lad,36.0,1234885.97,+918292009846,Other
Nitara Bakshi,66.0,2690563.89,+918631321682,Other
Bishakha Lal,58.0,336594.69,+918879067453,Other
Ucchal Sen,34.0,2223397.98,+919280739820,Female
Shravya Bera,53.0,666237.19,+916419201975,Female
Hritik Kaur,59.0,2406236.58,+919492602049,Male
Darpan Narayan,38.0,442404.04,+917408405265,Other
Anvi Nair,,2468500.27,+916752002052,Other
Wahab Raval,44.0,2436370.15,+919711126727,Other
Chaitanya Sarin,43.0,389250.27,+917840877826,Male
Ekta Gopal,68.0,1597052.38,+919524233168,Male
Anay Thakkar,42.0,2097156.81,+916742201314,Female
Harish Sarraf,39.0,1150416.75,+916779130936,Male
Vedika Handa,49.0,1053566.12,+917498098234,Other
Jyoti Tak,67.0,2807288.32,+918644019132,Other
Krish Lalla,60.0,2566843.55,+919091320992,Female
Anthony Randhawa,67.0,2468098.58,+919755937285,Male
Veda Pai,45.0,2624062.62,+919096932037,Male
Ayushman Chander,19.0,1749548.43,+919075280817,Other
Ojas Suri,63.0,783735.1,+918296240256,Other
Udant Bajwa,27.0,1241650.58,+916656293602,Other
Aadhya Andra,24.0,1391678.1,+917719918855,Other
Gautami Mane,45.0,441886.85,+919565126577,Other
Daksh Andra,,2335500.18,+916999705716,Male
Vrinda Nadig,45.0,1258181.97,+919026816435,Male
Devika Nair,23.0,2459962.67,+919631485960,Female
Kiaan Dhar,65.0,1793449.67,+918426709025,Male
William Mody,27.0,1624286.72,+917032089545,Male
Vrishti Wable,37.0,2080009.05,+919540388030,Other
Omkaar Rai,57.0,2695694.59,+919025824435,Male
Ansh Luthra,27.0,2673429.28,+918812868150,Male
Libni Bumb,63.0,680667.35,+919163749761,Female
Lajita Divan,55.0,2109843.57,+916949324089,Female
Raksha Manne,66.0,1429763.25,+916717967293,Male
Jason Loke,55.0,2032914.94,+916368053428,Other
Raghav Vasa,26.0,2263896.46,+918259520140,Male
Warda Ratta,70.0,2233424.71,+917152750071,Female
Siddharth Sha,,2395309.88,+918684603688,Other
Chakrika Koshy,,2774958.92,+918625862062,Male
Kashvi Sagar,20.0,433788.01,+919366780879,Female
Saumya Purohit,56.0,1860022.42,+918609592494,Female
Harinakshi Kant,33.0,1479446.82,+917148782098,Female
Orinder Pandya,68.0,781348.26,+919177486462,Other
Vanya Bobal,40.0,1892371.49,+919704734739,Other
Kevin Mittal,36.0,902756.31,+916215092803,Male
Aradhana Verma,51.0,1129708.57,+919203768294,Other
Dipta Bhandari,33.0,2050760.22,+917519038154,Other
Faras Choudhury,35.0,416018.96,+917548058189,Female
Faqid Oak,45.0,2406751.2,+918092508149,Other
Eta Balan,63.0,2910917.25,+918978819212,Other
Faras Mangal,64.0,698865.24,+916513483708,Other
Zayyan Sridhar,55.0,1002589.61,+917822393017,Other
Farhan Chada,24.0,2028100.84,+917521696479,Female
