name,age,income,mobile,gender,date,amount,store
Fitan Samra,20.0,1296456.25,917006479526,Other,1987-01-30,9268.58,More
Fitan Samra,20.0,1296456.25,917006479526,Other,21-07-1997,2298.99,Spencer's
Fitan Samra,20.0,1296456.25,917006479526,Other,1978-05-12,2609.53,DMart
Netra Varkey,25.0,2034014.28,916110724913,Male,2016-02-16,6462.46,Big Bazaar
Netra Varkey,25.0,2034014.28,916110724913,Male,1986-01-20,6149.83,Big Bazaar
Netra Varkey,25.0,2034014.28,916110724913,Male,,5093.45,DMart
Netra Varkey,25.0,2034014.28,916110724913,Male,1984-09-06,9544.59,DMart
Radhika Dugar,31.0,2797403.46,919243839315,Other,08-09-1977,6299.78,
Radhika Dugar,31.0,2797403.46,919243839315,Other,1984-05-25,9355.67,Reliance Fresh
Radhika Dugar,31.0,2797403.46,919243839315,Other,1979-10-05,3834.46,More
Radhika Dugar,31.0,2797403.46,919243839315,Other,2011-07-14,4212.61,Spencer's
Radhika Dugar,31.0,2797403.46,919243839315,Other,,3946.47,Spencer's
Radhika Dugar,31.0,2797403.46,919243839315,Other,2012-08-23,6138.42,Big Bazaar
Radhika Dugar,31.0,2797403.46,919243839315,Other,10-10-1998,8691.22,Big Bazaar
Radhika Dugar,31.0,2797403.46,919243839315,Other,2022-01-01,3231.32,Spencer's
Radhika Dugar,31.0,2797403.46,919243839315,Other,1976-06-08,7233.6,Big Bazaar
Nilima Gole,55.0,2230526.07,917509834067,Female,2004-03-17,7241.36,Big Bazaar
Nilima Gole,55.0,2230526.07,917509834067,Female,1982-08-26,8883.76,Reliance Fresh
Nilima Gole,55.0,2230526.07,917509834067,Female,1993-11-29,9404.57,More
Nilima Gole,55.0,2230526.07,917509834067,Female,05-06-1974,8971.92,Big Bazaar
Nilima Gole,55.0,2230526.07,917509834067,Female,1989-02-07,1563.97,Reliance Fresh
Nilima Gole,55.0,2230526.07,917509834067,Female,,7930.34,More
Siddharth Gupta,47.0,1199579.84,918118967967,Male,1990-04-20,3329.22,More
Siddharth Gupta,47.0,1199579.84,918118967967,Male,20-11-1974,2920.35,Big Bazaar
Siddharth Gupta,47.0,1199579.84,918118967967,Male,,4425.9,DMart
Siddharth Gupta,47.0,1199579.84,918118967967,Male,2004-01-19,2910.73,Spencer's
Siddharth Gupta,47.0,1199579.84,918118967967,Male,2019-08-03,8151.72,Big Bazaar
Siddharth Gupta,47.0,1199579.84,918118967967,Male,14-03-1980,5338.09,
Isaiah Khosla,59.0,2063701.96,917463957634,Female,2014-08-08,1436.78,Reliance Fresh
Isaiah Khosla,59.0,2063701.96,917463957634,Female,1997-04-01,881.38,Big Bazaar
Isaiah Khosla,59.0,2063701.96,917463957634,Female,2016-02-13,7342.95,Big Bazaar
Laksh Dubey,68.0,2206743.48,917236045959,Male,2017-04-01,2110.91,
Laksh Dubey,68.0,2206743.48,917236045959,Male,1980-03-11,4588.51,Reliance Fresh
Laksh Dubey,68.0,2206743.48,917236045959,Male,2025-02-24,5422.54,Big Bazaar
Laksh Dubey,68.0,2206743.48,917236045959,Male,2023-09-07,1576.46,Big Bazaar
Laksh Dubey,68.0,2206743.48,917236045959,Male,1971-02-08,8152.83,More
Laksh Dubey,68.0,2206743.48,917236045959,Male,1999-07-06,1442.87,Spencer's
Laksh Dubey,68.0,2206743.48,917236045959,Male,2003-03-23,5727.94,DMart
Laksh Dubey,68.0,2206743.48,917236045959,Male,1995-08-18,9475.1,Spencer's
Laksh Dubey,68.0,2206743.48,917236045959,Male,2015-12-09,9075.46,Spencer's
Laksh Dubey,68.0,2206743.48,917236045959,Male,1972-01-14,,More
Chandresh Wali,42.0,1341981.45,916592135522,Other,2016-12-17,5780.49,More
Chandresh Wali,42.0,1341981.45,916592135522,Other,2018-07-02,2464.04,DMart
Chandresh Wali,42.0,1341981.45,916592135522,Other,2022-03-01,9018.55,More
Chandresh Wali,42.0,1341981.45,916592135522,Other,2010-05-27,483.84,Reliance Fresh
Chandresh Wali,42.0,1341981.45,916592135522,Other,2024-09-23,7507.44,Big Bazaar
Chandresh Wali,42.0,1341981.45,916592135522,Other,2015-08-18,,DMart
Chandresh Wali,42.0,1341981.45,916592135522,Other,1997-08-15,6286.57,More
Aditya Misra,20.0,2316011.77,917895655026,Other,,,
Aditya Misra,20.0,2316011.77,917895655026,Other,1972-10-13,9309.75,
Aditya Misra,20.0,2316011.77,917895655026,Other,2014-03-02,7497.33,Spencer's
Aditya Misra,20.0,2316011.77,917895655026,Other,2024-08-26,7163.86,Reliance Fresh
Aditya Misra,20.0,2316011.77,917895655026,Other,22-07-2009,8952.51,
Aditya Misra,20.0,2316011.77,917895655026,Other,1984-01-28,754.96,Big Bazaar
Aditya Misra,20.0,2316011.77,917895655026,Other,2000-02-07,7628.32,DMart
Aditya Misra,20.0,2316011.77,917895655026,Other,,7601.67,More
Chandresh Manda,26.0,916419.05,917152798401,Female,,9602.79,Big Bazaar
Chandresh Manda,26.0,916419.05,917152798401,Female,2024-12-17,1701.75,Reliance Fresh
Chandresh Manda,26.0,916419.05,917152798401,Female,2006-10-30,3982.56,Big Bazaar
Chandresh Manda,26.0,916419.05,917152798401,Female,1977-11-16,5366.99,DMart
Chandresh Manda,26.0,916419.05,917152798401,Female,17-01-2006,1932.05,
Chandresh Manda,26.0,916419.05,917152798401,Female,2000-12-19,5963.79,DMart
Chandresh Manda,26.0,916419.05,917152798401,Female,2011-08-03,6066.74,More
Chandresh Manda,26.0,916419.05,917152798401,Female,2009-08-02,,DMart
Joshua Barman,63.0,2134609.61,918123333781,Female,02-06-1980,7565.52,More
Joshua Barman,63.0,2134609.61,918123333781,Female,2011-08-15,2760.58,Big Bazaar
Joshua Barman,63.0,2134609.61,918123333781,Female,11-04-2014,1424.63,Reliance Fresh
Joshua Barman,63.0,2134609.61,918123333781,Female,2013-01-24,9774.22,Spencer's
Devansh Soni,25.0,2534560.0,918146750150,Other,1979-04-22,8206.22,DMart
Devansh Soni,25.0,2534560.0,918146750150,Other,1998-04-03,754.93,Reliance Fresh
Devansh Soni,25.0,2534560.0,918146750150,Other,2014-10-21,2952.77,Reliance Fresh
Advik Devan,26.0,543813.02,918587822801,Other,26-09-1988,7397.77,Reliance Fresh
Advik Devan,26.0,543813.02,918587822801,Other,2000-01-11,,Reliance Fresh
Advik Devan,26.0,543813.02,918587822801,Other,2020-01-05,4485.51,Big Bazaar
Advik Devan,26.0,543813.02,918587822801,Other,1970-12-06,1273.45,More
Advik Devan,26.0,543813.02,918587822801,Other,1981-02-24,4032.97,Big Bazaar
Tanveer Vala,,1482106.64,918369305560,Male,1971-04-12,9048.83,Spencer's
Tanveer Vala,,1482106.64,918369305560,Male,1978-01-13,1837.17,DMart
Tanveer Vala,,1482106.64,918369305560,Male,1984-01-05,4375.58,Big Bazaar
Tanveer Vala,,1482106.64,918369305560,Male,1986-03-20,7884.45,More
Tanveer Vala,,1482106.64,918369305560,Male,2020-09-19,6988.7,Spencer's
Tanveer Vala,,1482106.64,918369305560,Male,2024-10-19,320.73,Big Bazaar
Tanveer Vala,,1482106.64,918369305560,Male,1990-12-28,6817.48,DMart
Yatin Baral,35.0,603713.85,919011966884,Male,10-02-2024,5745.48,More
Yatin Baral,35.0,603713.85,919011966884,Male,,1229.26,
Yatin Baral,35.0,603713.85,919011966884,Male,2012-02-16,8391.44,Reliance Fresh
Yatin Baral,35.0,603713.85,919011966884,Male,2005-05-24,5521.93,More
Yatin Baral,35.0,603713.85,919011966884,Male,1991-05-28,1450.44,Reliance Fresh
Yatin Baral,35.0,603713.85,919011966884,Male,1989-03-03,9283.84,DMart
Yatin Baral,35.0,603713.85,919011966884,Male,,3820.34,DMart
Yatin Baral,35.0,603713.85,919011966884,Male,2006-01-22,9737.47,Spencer's
Yatin Baral,35.0,603713.85,919011966884,Male,1976-11-05,5910.9,Big Bazaar
Diya Bora,52.0,1093777.12,916118543408,Male,1974-06-24,9653.27,Spencer's
Diya Bora,52.0,1093777.12,916118543408,Male,2009-07-23,3130.06,More
Diya Bora,52.0,1093777.12,916118543408,Male,1974-08-12,1775.18,Reliance Fresh
Diya Bora,52.0,1093777.12,916118543408,Male,1970-09-17,5912.53,DMart
Diya Bora,52.0,1093777.12,916118543408,Male,2015-04-27,3164.67,DMart
Diya Bora,52.0,1093777.12,916118543408,Male,1999-02-19,7578.08,Reliance Fresh
Diya Bora,52.0,1093777.12,916118543408,Male,2019-05-16,7293.0,DMart
Diya Bora,52.0,1093777.12,916118543408,Male,1984-08-11,3541.18,Reliance Fresh
Frado Lad,66.0,2807254.12,918357297588,Female,1979-05-12,4037.66,More
Frado Lad,66.0,2807254.12,918357297588,Female,,5671.55,Reliance Fresh
Frado Lad,66.0,2807254.12,918357297588,Female,1975-05-20,5616.35,DMart
Frado Lad,66.0,2807254.12,918357297588,Female,1987-09-14,5022.04,DMart
Kabir Soman,,2431688.66,916469306919,Male,2015-05-04,1278.0,DMart
Kabir Soman,,2431688.66,916469306919,Male,1990-05-05,6593.01,DMart
Kabir Soman,,2431688.66,916469306919,Male,,7206.7,Spencer's
Devika Rastogi,53.0,429039.88,918800940984,Other,2014-07-12,1575.01,DMart
Devika Rastogi,53.0,429039.88,918800940984,Other,1979-10-29,7406.67,Spencer's
Devika Rastogi,53.0,429039.88,918800940984,Other,1985-01-23,2873.8,Reliance Fresh
Devika Rastogi,53.0,429039.88,918800940984,Other,12-02-1984,6975.25,Reliance Fresh
Devika Rastogi,53.0,429039.88,918800940984,Other,1986-06-13,5499.1,Big Bazaar
Devika Rastogi,53.0,429039.88,918800940984,Other,,9355.44,More
Devika Rastogi,53.0,429039.88,918800940984,Other,18-11-2014,4682.79,DMart
Devika Rastogi,53.0,429039.88,918800940984,Other,2009-11-18,4678.3,Big Bazaar
Lila Rege,57.0,2357627.47,917632905061,Male,1992-06-16,,Big Bazaar
Lila Rege,57.0,2357627.47,917632905061,Male,1970-12-12,5612.24,Big Bazaar
Lila Rege,57.0,2357627.47,917632905061,Male,2009-03-24,8281.27,DMart
Lila Rege,57.0,2357627.47,917632905061,Male,1983-10-02,6477.33,Big Bazaar
Lila Rege,57.0,2357627.47,917632905061,Male,1988-08-12,2865.45,DMart
Lila Rege,57.0,2357627.47,917632905061,Male,2011-07-01,4600.45,Spencer's
Lila Rege,57.0,2357627.47,917632905061,Male,2016-07-30,6455.46,More
Lila Rege,57.0,2357627.47,917632905061,Male,1974-09-18,6343.23,Big Bazaar
Bhavya Rattan,31.0,2467201.0,917000721711,Female,2007-08-03,1138.55,Big Bazaar
Bhavya Rattan,31.0,2467201.0,917000721711,Female,,5519.39,Big Bazaar
Bhavya Rattan,31.0,2467201.0,917000721711,Female,1998-08-10,6878.27,DMart
Bhavya Rattan,31.0,2467201.0,917000721711,Female,1984-12-12,1944.83,Spencer's
Girik Sampath,69.0,2125942.93,918620258967,Female,1991-07-09,3075.16,Big Bazaar
Girik Sampath,69.0,2125942.93,918620258967,Female,2022-02-02,7563.49,DMart
Girik Sampath,69.0,2125942.93,918620258967,Female,2012-11-23,4963.33,DMart
Girik Sampath,69.0,2125942.93,918620258967,Female,,6308.66,More
Girik Sampath,69.0,2125942.93,918620258967,Female,2010-07-19,8441.89,Reliance Fresh
Girik Sampath,69.0,2125942.93,918620258967,Female,1984-01-09,8808.45,More
Girik Sampath,69.0,2125942.93,918620258967,Female,1973-01-29,5443.04,Big Bazaar
Girik Sampath,69.0,2125942.93,918620258967,Female,1990-09-01,5986.37,Reliance Fresh
Girik Sampath,69.0,2125942.93,918620258967,Female,2005-06-04,8485.25,Spencer's
Girik Sampath,69.0,2125942.93,918620258967,Female,2010-08-05,4650.91,Reliance Fresh
Falan Jain,22.0,2278638.85,916660370908,Male,1992-09-08,8549.05,DMart
Falan Jain,22.0,2278638.85,916660370908,Male,1970-01-04,9857.8,Big Bazaar
Falan Jain,22.0,2278638.85,916660370908,Male,1988-02-23,8929.12,Reliance Fresh
Falan Jain,22.0,2278638.85,916660370908,Male,1985-12-31,6161.18,Spencer's
Falan Jain,22.0,2278638.85,916660370908,Male,1998-01-05,,DMart
Falan Jain,22.0,2278638.85,916660370908,Male,1974-10-12,6894.04,More
Ikbal Dugal,39.0,257976.0,916314597900,Male,17-02-1972,9895.37,DMart
Ikbal Dugal,39.0,257976.0,916314597900,Male,2018-12-29,4713.49,Spencer's
Ikbal Dugal,39.0,257976.0,916314597900,Male,,2346.37,Reliance Fresh
Ikbal Dugal,39.0,257976.0,916314597900,Male,2015-03-06,4906.93,
Manthan Modi,36.0,212527.85,919564984187,Other,1972-04-25,5419.5,DMart
Manthan Modi,36.0,212527.85,919564984187,Other,1998-04-14,421.82,More
Manthan Modi,36.0,212527.85,919564984187,Other,2020-04-13,5768.12,DMart
Manthan Modi,36.0,212527.85,919564984187,Other,2008-08-14,3064.76,More
Manthan Modi,36.0,212527.85,919564984187,Other,2019-02-02,2890.46,DMart
Manthan Modi,36.0,212527.85,919564984187,Other,,9584.47,Reliance Fresh
Manthan Modi,36.0,212527.85,919564984187,Other,2024-01-21,4193.76,Big Bazaar
Azad Choudhary,47.0,2351175.36,918527974623,Other,1971-12-13,4260.85,DMart
Azad Choudhary,47.0,2351175.36,918527974623,Other,17-07-2011,5446.78,Reliance Fresh
Azad Choudhary,47.0,2351175.36,918527974623,Other,2009-10-17,7374.04,
Azad Choudhary,47.0,2351175.36,918527974623,Other,1987-07-10,2977.22,DMart
Azad Choudhary,47.0,2351175.36,918527974623,Other,2002-04-30,4559.38,DMart
Azad Choudhary,47.0,2351175.36,918527974623,Other,2019-09-04,2497.56,Big Bazaar
Azad Choudhary,47.0,2351175.36,918527974623,Other,1977-02-16,9401.91,Reliance Fresh
Azad Choudhary,47.0,2351175.36,918527974623,Other,1982-11-15,966.63,Reliance Fresh
Azad Choudhary,47.0,2351175.36,918527974623,Other,1976-03-13,8316.08,Reliance Fresh
Indira Kanda,50.0,1034662.37,917940955281,Male,2014-04-13,9043.17,DMart
Indira Kanda,50.0,1034662.37,917940955281,Male,,5987.91,Big Bazaar
Indira Kanda,50.0,1034662.37,917940955281,Male,1984-10-19,8043.79,
Indira Kanda,50.0,1034662.37,917940955281,Male,14-11-2012,6384.91,Big Bazaar
Indira Kanda,50.0,1034662.37,917940955281,Male,2024-07-08,7610.89,Big Bazaar
Indira Kanda,50.0,1034662.37,917940955281,Male,2013-10-19,8462.49,DMart
Indira Kanda,50.0,1034662.37,917940955281,Male,2021-06-10,3684.78,DMart
Indira Kanda,50.0,1034662.37,917940955281,Male,2025-02-05,2701.42,Big Bazaar
Indira Kanda,50.0,1034662.37,917940955281,Male,2016-11-11,8818.55,Reliance Fresh
Indira Kanda,50.0,1034662.37,917940955281,Male,1977-01-08,6666.73,More
Nirja Rout,58.0,809585.17,919037270171,Male,1973-09-02,6915.62,Spencer's
Nirja Rout,58.0,809585.17,919037270171,Male,1995-06-07,115.53,Reliance Fresh
Nirja Rout,58.0,809585.17,919037270171,Male,2021-10-27,7568.64,Big Bazaar
Nirja Rout,58.0,809585.17,919037270171,Male,1998-08-10,5689.9,Spencer's
Nirja Rout,58.0,809585.17,919037270171,Male,1989-05-26,5022.71,More
Nirja Rout,58.0,809585.17,919037270171,Male,20-05-1997,9138.5,Big Bazaar
Nirja Rout,58.0,809585.17,919037270171,Male,2008-02-21,2769.09,More
Nirja Rout,58.0,809585.17,919037270171,Male,,,DMart
Nirja Rout,58.0,809585.17,919037270171,Male,2005-01-22,6450.93,Spencer's
Adweta Raj,56.0,2170176.94,916363865392,Female,1987-01-03,4915.6,More
Adweta Raj,56.0,2170176.94,916363865392,Female,2021-01-25,9338.37,Big Bazaar
Adweta Raj,56.0,2170176.94,916363865392,Female,2005-09-10,3849.95,DMart
Adweta Raj,56.0,2170176.94,916363865392,Female,1999-05-22,8252.78,Big Bazaar
Adweta Raj,56.0,2170176.94,916363865392,Female,2020-02-28,4222.1,
Adweta Raj,56.0,2170176.94,916363865392,Female,1982-11-08,5204.27,More
Adweta Raj,56.0,2170176.94,916363865392,Female,2025-02-26,1936.69,DMart
Adweta Raj,56.0,2170176.94,916363865392,Female,,1285.54,Reliance Fresh
Adweta Raj,56.0,2170176.94,916363865392,Female,1983-12-23,6565.12,More
Adweta Raj,56.0,2170176.94,916363865392,Female,,4885.36,DMart
Udyati Mohanty,49.0,1082774.45,916010621799,Other,2025-02-17,2086.25,DMart
Udyati Mohanty,49.0,1082774.45,916010621799,Other,1970-01-14,,Spencer's
Udyati Mohanty,49.0,1082774.45,916010621799,Other,1978-09-06,5037.35,DMart
Udyati Mohanty,49.0,1082774.45,916010621799,Other,2009-07-20,9430.32,Reliance Fresh
Udyati Mohanty,49.0,1082774.45,916010621799,Other,2002-01-14,9662.02,More
Udyati Mohanty,49.0,1082774.45,916010621799,Other,2012-10-30,6451.02,Spencer's
Madhavi Lanka,53.0,177558.64,916323169889,Other,02-01-2017,7722.7,More
Madhavi Lanka,53.0,177558.64,916323169889,Other,2021-02-18,5652.85,DMart
Madhavi Lanka,53.0,177558.64,916323169889,Other,2023-01-18,2100.22,Spencer's
Madhavi Lanka,53.0,177558.64,916323169889,Other,1998-08-10,5964.28,More
Madhavi Lanka,53.0,177558.64,916323169889,Other,2011-11-11,7919.6,More
Madhavi Lanka,53.0,177558.64,916323169889,Other,1977-11-14,5267.37,Big Bazaar
Madhavi Lanka,53.0,177558.64,916323169889,Other,1973-11-05,5312.1,More
Madhavi Lanka,53.0,177558.64,916323169889,Other,1994-06-04,6222.04,Big Bazaar
Madhavi Lanka,53.0,177558.64,916323169889,Other,24-10-2007,3304.84,Reliance Fresh
Om Shankar,30.0,1126609.17,918445569788,Female,1998-04-15,8789.27,
Om Shankar,30.0,1126609.17,918445569788,Female,1971-11-05,7125.72,Spencer's
Om Shankar,30.0,1126609.17,918445569788,Female,1971-10-30,7361.22,
Om Shankar,30.0,1126609.17,918445569788,Female,1998-08-06,9208.86,Spencer's
Om Shankar,30.0,1126609.17,918445569788,Female,1985-09-15,4227.24,More
Diya Dora,43.0,295799.41,918412985084,Male,1997-10-28,4674.98,DMart
Diya Dora,43.0,295799.41,918412985084,Male,16-01-2021,4136.9,DMart
Diya Dora,43.0,295799.41,918412985084,Male,,6548.42,
Urvashi Ray,,491676.85,919823754905,Other,2009-09-06,5713.32,More
Urvashi Ray,,491676.85,919823754905,Other,1994-08-07,,Reliance Fresh
Urvashi Ray,,491676.85,919823754905,Other,2004-12-18,8365.76,Spencer's
Urvashi Ray,,491676.85,919823754905,Other,2002-05-30,9880.96,Reliance Fresh
Ranveer Yadav,40.0,2660462.9,919776436931,Male,2019-04-14,5714.99,Big Bazaar
Ranveer Yadav,40.0,2660462.9,919776436931,Male,1996-12-23,7533.99,Reliance Fresh
Ranveer Yadav,40.0,2660462.9,919776436931,Male,2008-10-05,1252.03,Big Bazaar
Ranveer Yadav,40.0,2660462.9,919776436931,Male,2000-01-06,856.6,Spencer's
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,,3544.75,Spencer's
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,14-09-1993,2605.24,Reliance Fresh
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,1995-06-30,204.06,Reliance Fresh
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,29-07-2021,5654.27,Reliance Fresh
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,2012-05-03,8538.22,Spencer's
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,,,Spencer's
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,1999-05-15,8673.77,
Krishna Bhatnagar,29.0,2341570.38,919289204852,Other,2006-09-20,5779.17,More
Ishwar Mallick,20.0,509755.57,917013592436,Other,2002-11-06,4603.57,More
Ishwar Mallick,20.0,509755.57,917013592436,Other,1995-11-07,969.62,More
Ishwar Mallick,20.0,509755.57,917013592436,Other,2001-10-04,6173.47,Big Bazaar
Ishwar Mallick,20.0,509755.57,917013592436,Other,2004-02-13,6686.09,Spencer's
