mobile,month,total_spent,num_purchases
916039887139,1985-07,2659.37,1
916039887139,1992-04,9124.55,1
916039887139,2022-07,6735.41,1
916039887139,NaT,29157.12,0
916053002550,1971-08,6042.91,1
916053002550,1982-07,1359.42,1
916053002550,1983-01,7526.99,1
916053002550,1991-09,4582.88,1
916053002550,2005-07,9283.17,1
916053002550,2010-01,5654.36,1
916053002550,2020-02,1121.87,1
916054395639,1978-04,1679.73,1
916054395639,1986-04,1756.1,1
916054395639,2009-09,8478.32,1
916054395639,2010-05,3305.67,1
916054395639,2014-12,3577.51,1
916054395639,NaT,5791.789999999999,0
916067779246,1986-08,4454.12,1
916067779246,1989-11,6193.64,1
916067779246,1995-08,181.28,1
916067779246,2019-09,9066.01,1
916067779246,NaT,3394.0299999999997,0
916069759864,1972-10,6466.32,1
916069759864,1974-02,5858.12,1
916069759864,1983-08,3526.53,1
916069759864,1992-10,1468.4,1
916069759864,2002-04,864.46,1
916069759864,2003-09,5040.65,1
916069759864,2017-06,3675.4,1
916069759864,2018-04,2161.37,1
916069759864,NaT,8595.78,0
916076317824,1974-09,7834.19,1
916076317824,1976-10,1577.98,1
916076317824,1994-10,3912.69,1
916076317824,1999-01,8476.52,1
916076317824,2000-10,968.7,1
916076317824,2015-06,8828.64,1
916076317824,2018-06,8997.37,1
916076317824,2021-06,3455.16,1
916076317824,NaT,8737.82,0
916078299575,1978-06,1145.78,1
916078299575,2003-06,269.98,1
916078299575,2020-08,2063.72,1
916083651970,1970-05,7657.94,1
916083651970,1981-09,1493.76,1
916083651970,1988-08,7544.97,1
916083651970,2021-12,6202.56,1
916083651970,NaT,9562.14,0
916083880626,1992-12,4235.4,1
916083880626,2009-01,3977.86,1
916083880626,2016-11,8988.61,1
916083880626,NaT,9615.57,0
916084790270,2004-12,215.69,1
916084790270,2013-10,9688.52,1
916084790270,NaT,18039.14,0
916086899610,1982-09,711.59,1
916086899610,1989-06,9439.68,1
916086899610,1998-03,8711.34,1
916086899610,2016-12,7932.97,1
916086899610,NaT,19201.3,0
916089578218,1974-02,6393.45,1
916089578218,1975-11,3889.33,1
916089578218,2005-09,7432.45,1
916089578218,2007-01,8961.03,1
916089578218,2010-05,7220.61,1
916089578218,2015-06,4417.6,1
916089578218,2021-03,653.7,1
916089578218,NaT,7940.76,0
916094116768,1979-10,5054.62,1
916094116768,1992-07,9780.01,1
916094116768,2008-08,9684.15,1
916094116768,2012-04,8369.34,1
916094116768,2017-09,3190.07,1
916094116768,2025-03,3303.05,1
916094116768,NaT,19215.190000000002,0
916106110279,1974-05,1970.04,1
916106110279,1986-04,6807.85,1
916106110279,1990-05,3731.21,1
916106110279,1996-06,6369.81,1
916106110279,1996-10,7112.71,1
916106110279,1997-12,8756.77,1
916106110279,2014-12,7740.89,1
916110724913,1975-11,8363.79,1
916110724913,1981-09,1145.88,1
916110724913,1982-06,8812.32,1
916110724913,1998-01,4800.64,1
916110724913,2022-07,1707.6,1
916117898946,1980-05,227.51,1
916117898946,1983-11,6937.05,1
916117898946,1997-01,6608.79,1
916117898946,2011-05,187.2,1
916117898946,2013-01,745.37,1
916117898946,NaT,17717.989999999998,0
916118543408,1972-12,5125.14,1
916118543408,1976-01,4249.49,1
916118543408,1979-11,9628.54,1
916118543408,1987-04,6098.38,1
916118543408,NaT,5874.15,0
916125857393,1972-10,5995.21,1
916125857393,1984-12,5046.21,1
916125857393,2004-08,1689.67,1
916125857393,2010-11,8975.19,1
916125857393,2011-01,3298.2,1
916125857393,NaT,5545.95,0
916138428506,1972-01,4044.52,1
916138428506,1981-05,917.78,1
916138428506,1990-11,7256.65,1
916138428506,1992-06,6741.52,1
916138428506,2000-08,7015.23,1
916138428506,2021-11,4594.28,1
916138428506,2023-04,3363.07,1
916138428506,2024-06,4812.66,1
916138428506,NaT,10160.63,0
916139093888,1978-12,8744.81,1
916139093888,1982-08,5983.02,1
916139093888,1987-08,459.31,1
916139093888,1992-12,6097.29,1
916139093888,1995-05,0.0,1
916139093888,2012-03,4586.31,1
916139093888,2012-10,4401.84,1
916139093888,NaT,14036.029999999999,0
916157437641,1980-07,7102.17,1
916157437641,1987-01,9778.82,1
916157437641,1991-03,5911.22,1
916157437641,1992-01,5551.75,1
916157437641,1992-11,5859.97,1
916157437641,2014-01,4639.67,1
916164510971,2018-09,305.86,1
916164510971,2018-12,9300.6,1
916164510971,2024-03,4700.91,1
916171055058,1973-06,5597.87,1
916171055058,1973-07,9079.55,1
916171055058,1980-07,9032.51,1
916171055058,1981-05,9212.52,1
916171055058,2013-04,1265.43,1
916171055058,2013-09,7204.85,1
916171055058,NaT,6929.39,0
916171347175,1977-03,1256.35,1
916171347175,NaT,16314.46,0
916172893522,1976-12,5279.61,1
916172893522,1977-07,8984.91,1
916172893522,1984-05,2336.62,1
916172893522,1994-10,6682.58,1
916172893522,1998-08,6488.95,1
916172893522,2004-10,5814.14,1
916172893522,NaT,18888.12,0
916172907376,1983-12,2682.13,1
916172907376,1991-06,1593.85,1
916172907376,1996-07,7017.22,1
916172907376,2002-04,6691.57,1
916172907376,2006-12,1299.76,1
916172907376,2024-04,2795.16,1
916172907376,NaT,6436.72,0
916180674181,1980-04,1075.89,1
916180674181,2010-12,7819.8,1
916180674181,2015-11,2824.35,1
916180674181,NaT,8011.03,0
916183860832,1980-08,235.44,1
916183860832,1985-08,5133.1,1
916183860832,1995-05,6734.35,1
916183860832,2021-04,7754.65,1
916196346343,1984-04,5888.71,1
916196346343,2004-01,757.32,1
916196346343,2019-02,6247.66,1
916196346343,2022-04,4816.25,1
916196346343,NaT,2593.55,0
916196615480,1981-03,1959.93,1
916196615480,1986-07,9303.07,1
916196615480,NaT,8313.65,0
916211703120,1984-04,2552.06,1
916211703120,2001-01,1584.32,1
916211703120,NaT,108.86,0
916213182609,1998-08,6364.7,1
916213182609,2001-12,1861.35,1
916213182609,2016-08,5593.03,1
916213182609,NaT,3224.35,0
916215092803,1971-10,3408.58,1
916215092803,1976-01,8756.46,1
916215092803,1976-09,4721.65,1
916215092803,1979-07,5169.03,1
916215092803,1992-11,3823.77,1
916215092803,2008-11,2200.78,1
916215092803,2009-01,3506.37,1
916215092803,2019-03,1203.09,1
916215092803,NaT,8345.97,0
916217150457,1972-01,0.0,1
916217150457,1979-05,5903.69,1
916217150457,1982-04,9148.56,1
916217150457,1999-06,625.77,1
916217150457,2003-09,3934.06,1
916217150457,2005-09,4475.67,1
916217150457,2010-09,3579.21,1
916217150457,2011-07,8559.15,1
916217150457,NaT,13437.29,0
916218035843,1981-10,1382.81,1
916218035843,2016-12,8576.19,1
916218035843,NaT,8915.62,0
916224908174,1984-05,2336.31,1
916224908174,1998-09,4193.03,1
916224908174,2002-03,3927.02,1
916224908174,2003-05,6956.53,1
916224908174,2005-09,6331.22,1
916224908174,2013-07,9701.93,1
916224908174,2017-10,1758.78,1
916224908174,NaT,8911.36,0
916225447588,1973-05,6760.25,1
916225447588,1974-09,7438.55,1
916225447588,1975-11,5718.82,1
916225447588,1977-08,4322.31,1
916225447588,1977-11,9139.76,1
916225447588,2023-07,6223.12,1
916241030242,1977-10,1333.03,1
916241030242,1993-02,206.01,1
916241030242,2020-08,5072.68,1
916241030242,NaT,7980.360000000001,0
916245522987,1972-08,3082.11,1
916245522987,1977-07,5133.67,1
916245522987,1979-08,3513.82,1
916245522987,1990-08,2204.61,1
916245522987,1994-06,7280.09,1
916245522987,2007-01,3178.11,1
916245522987,2014-10,5078.29,1
916245522987,NaT,0.0,0
916248786714,1983-10,0.0,1
916248786714,1984-07,6635.81,1
916248786714,1993-06,3801.21,1
916249166485,2004-03,8266.67,1
916249166485,2017-06,3119.99,1
916249166485,NaT,16856.32,0
916251183830,1987-06,8655.49,1
916251183830,1994-09,6341.79,1
916251183830,2021-02,9043.92,1
916251183830,NaT,0.0,0
916257247382,1972-02,0.0,1
916257247382,1976-10,9748.81,1
916257247382,1989-02,7804.76,1
916257247382,1996-08,267.03,1
916257247382,1997-03,8009.38,1
916257247382,2018-04,3236.21,1
916257247382,NaT,16709.67,0
916257324536,1979-11,852.19,1
916257324536,1987-06,3319.27,1
916257324536,1998-04,2223.94,1
916257324536,NaT,807.28,0
916264867118,1973-02,8200.47,1
916264867118,2013-02,6850.15,1
916264867118,2015-04,8164.68,1
916264867118,2017-10,3377.9,1
916264867118,2023-11,331.91,1
916264867118,NaT,7067.29,0
916271515109,1972-09,4338.96,1
916271515109,1978-08,5215.71,1
916271515109,2000-03,3401.23,1
916271515109,NaT,15988.89,0
916282103057,1978-12,4777.82,1
916282103057,1985-01,3991.5,1
916282103057,2005-03,3612.31,1
916282103057,2021-09,4995.97,1
916282103057,2022-02,967.6,1
916282103057,NaT,12288.05,0
916287814151,1979-09,7364.27,1
916287814151,1985-01,3775.93,1
916287814151,1998-05,3623.06,1
916287814151,2023-03,7544.94,1
916287814151,NaT,558.24,0
916289012242,1972-11,4924.04,1
916289012242,1974-09,3275.67,1
916289012242,1986-04,5509.01,1
916289012242,2004-06,4138.6,1
916289012242,2005-06,615.45,1
916289012242,2013-01,709.97,1
916289012242,2014-11,4646.43,1
916289012242,2022-09,7235.14,1
916289012242,NaT,629.3,0
916289320836,1972-08,1019.15,1
916289320836,1998-06,2511.99,1
916289320836,1999-08,5300.09,1
916289320836,2003-07,7083.25,1
916289320836,2007-07,2370.81,1
916289320836,2008-11,0.0,1
916289320836,2019-06,2263.26,1
916294296873,1973-08,7585.92,1
916294296873,1995-10,9736.01,1
916294296873,2006-07,8049.9,1
916294296873,2014-04,4120.55,1
916294296873,2017-02,9337.38,1
916294296873,2019-07,2844.32,1
916294678352,1987-12,8496.91,1
916294678352,1989-09,7308.58,1
916294678352,1992-05,8274.38,1
916294678352,1993-01,0.0,1
916294678352,1995-03,0.0,1
916294678352,2019-04,5139.19,1
916294678352,NaT,3793.94,0
916306702926,1980-12,5058.28,1
916306702926,1987-06,9355.78,1
916306702926,2002-10,7074.36,1
916306702926,2008-10,5437.54,1
916306702926,2012-04,6974.17,1
916306702926,NaT,10173.470000000001,0
916314597900,1978-10,5097.7,1
916314597900,1992-06,4018.23,1
916314597900,2000-01,8931.6,1
916314597900,NaT,1952.6,0
916317234448,2000-08,1785.15,1
916317234448,2015-08,3003.23,1
916317234448,NaT,20022.19,0
916323169889,1978-01,3957.06,1
916323169889,1988-12,5128.82,1
916323169889,1992-05,1478.63,1
916323169889,1992-06,5409.39,1
916323169889,2007-09,1188.02,1
916323169889,2015-05,9052.03,1
916323169889,NaT,3975.3,0
916323775634,1985-08,7311.42,1
916323775634,2011-08,0.0,1
916323775634,2011-11,3373.0,1
916323775634,2016-06,2281.73,1
916323840346,1971-06,1522.8,1
916323840346,2018-07,819.18,1
916323840346,NaT,3233.64,0
916332788471,1986-11,4451.7,1
916332788471,1999-12,6396.75,1
916332788471,NaT,10254.09,0
916334744286,1972-09,3021.37,1
916334744286,1980-11,1821.78,1
916334744286,1984-03,4146.08,1
916334744286,2003-04,9742.62,1
916334744286,2009-03,970.75,1
916334744286,2013-07,1377.09,1
916334744286,2013-12,4465.91,1
916336590217,1978-03,1912.91,1
916336590217,1986-10,3596.35,1
916336590217,1991-02,8216.13,1
916336590217,1991-11,7939.16,1
916336590217,2008-05,9473.78,1
916336590217,NaT,1658.71,0
916340272119,1973-06,9509.19,1
916340272119,1982-12,2615.91,1
916340272119,1996-11,0.0,1
916340272119,1997-02,3689.71,1
916340272119,2001-06,6308.64,1
916340272119,NaT,5347.35,0
916347082594,1970-10,3179.14,1
916347082594,1981-01,1972.7,1
916347082594,1986-07,7776.69,1
916347082594,1995-10,7521.38,1
916347082594,NaT,7104.25,0
916350492684,1976-10,8764.18,1
916350492684,1995-02,9992.66,1
916350492684,1999-10,7666.83,1
916350492684,2003-03,4226.51,1
916350492684,2020-08,9574.84,1
916350492684,NaT,6427.67,0
916351784589,1976-08,2080.0,1
916351784589,1987-05,1873.57,1
916351784589,1992-08,7434.65,1
916351784589,2006-03,1914.04,1
916351784589,2006-11,6787.8,1
916351784589,2022-03,5000.84,1
916351784589,NaT,4156.88,0
916352116052,1978-05,8086.85,1
916352116052,NaT,10286.49,0
916352350576,2021-11,9553.68,1
916352350576,NaT,11612.439999999999,0
916354813720,1972-07,3215.5,1
916354813720,1984-04,5210.14,1
916354813720,1989-05,3199.21,1
916354813720,1994-08,1999.56,1
916354813720,1999-02,5241.42,1
916354813720,2024-11,1947.85,1
916354813720,NaT,4144.43,0
916363865392,1982-07,4162.2,1
916363865392,1983-06,196.46,1
916363865392,1987-10,3088.59,1
916363865392,1994-11,2640.43,1
916363865392,1995-03,4175.42,1
916363865392,1999-03,5161.35,1
916363865392,2000-09,0.0,1
916363865392,NaT,9164.51,0
916367709135,1971-06,4262.62,1
916367709135,1974-01,1840.83,1
916367709135,1992-08,5240.12,1
916367709135,2018-09,4561.03,1
916368053428,1988-06,6435.09,1
916368053428,1993-07,2666.3,1
916368053428,1995-12,1744.82,1
916368053428,1996-07,9095.59,1
916368053428,2006-12,1730.11,1
916368053428,2016-09,8642.46,1
916368053428,2018-06,1439.74,1
916368053428,NaT,15140.23,0
916370281126,1972-10,0.0,1
916370281126,1979-10,9909.37,1
916370281126,1993-11,6545.49,1
916370281126,1995-10,4120.9,1
916370281126,2007-09,6378.84,1
916370281126,2023-03,8174.18,1
916370281126,NaT,7163.630000000001,0
916371537098,1991-07,1776.48,1
916371537098,2008-05,7991.03,1
916371537098,2013-10,3761.97,1
916371537098,2017-03,866.03,1
916371537098,2023-10,3264.6,1
916371537098,NaT,3969.56,0
916378213925,1971-12,708.93,1
916378213925,1993-07,3813.7,1
916378213925,2019-10,7590.92,1
916378213925,NaT,21064.45,0
916383484123,1978-07,1767.81,1
916383484123,1990-08,9577.15,1
916383484123,1992-07,1537.41,1
916383484123,2000-01,6033.0,1
916383484123,2012-04,2638.56,1
916383484123,2015-05,5830.23,1
916383484123,2017-04,3899.83,1
916383484123,2019-01,391.61,1
916384230848,1970-03,6418.02,1
916384230848,1979-04,4997.63,1
916384230848,1980-12,9159.04,1
916384230848,1986-07,8969.78,1
916384230848,1990-02,5387.74,1
916384230848,2007-03,3924.17,1
916384230848,2014-09,976.17,1
916384230848,2017-03,764.37,1
916384230848,NaT,2348.68,0
916386757895,1978-11,5976.54,1
916386757895,1983-03,707.6,1
916386757895,1983-11,1407.31,1
916387652480,1978-05,5315.35,1
916387652480,1998-12,6781.27,1
916387652480,2015-04,5626.11,1
916387652480,NaT,2856.17,0
916387847884,1979-02,6845.55,1
916387847884,1982-08,9152.9,1
916387847884,1983-03,9528.16,1
916387847884,1988-01,5808.46,1
916387847884,1991-01,5439.22,1
916387847884,1998-10,8903.02,1
916387847884,2000-11,6166.97,1
916387847884,2010-12,8331.38,2
916387847884,2012-11,6655.14,1
916388354759,1975-11,6051.05,1
916388354759,NaT,31434.629999999997,0
916397129827,1970-11,1735.86,1
916397129827,1977-05,6907.1,1
916397129827,1996-12,3111.85,1
916397129827,2003-02,432.63,1
916397129827,2006-06,9228.15,1
916397129827,2009-11,7253.87,1
916397129827,NaT,12107.35,0
916399222877,1971-09,0.0,1
916399222877,1981-10,8673.07,1
916399222877,1981-11,1678.34,1
916399222877,1983-08,8484.64,1
916399222877,1983-10,7621.63,1
916399222877,1990-06,6145.38,1
916399222877,2013-01,1356.38,1
916399222877,2022-04,8840.88,1
916399707954,1971-04,217.38,1
916399707954,1979-08,5222.87,1
916399707954,1992-05,7505.92,1
916399707954,1999-11,8463.0,1
916399707954,2007-08,2703.31,1
916399707954,2007-11,6435.69,1
916399707954,2017-05,7546.4,1
916399707954,2024-11,8789.17,1
916399707954,NaT,4924.29,0
916401271939,1992-02,543.95,1
916401271939,2008-12,3989.04,1
916401271939,2020-12,9812.85,1
916401271939,2022-11,8357.77,1
916409675904,1976-02,2686.9,1
916409675904,1978-04,0.0,1
916409675904,1988-02,6692.38,1
916409675904,1996-11,6764.81,1
916409675904,2004-07,2205.35,1
916409675904,2018-06,4121.64,1
916409675904,2022-03,307.16,1
916409675904,NaT,7962.89,0
916419201975,1996-05,6153.82,1
916419201975,2002-02,1380.99,1
916419201975,2002-10,7865.18,1
916419201975,2004-12,7016.1,1
916419201975,2017-08,6904.06,1
916419201975,2023-01,4334.14,1
916419201975,NaT,6787.96,0
916422809996,1980-10,8073.07,1
916422809996,1985-09,9135.87,1
916422809996,1988-07,2517.92,1
916422809996,2003-10,9006.42,1
916422809996,2020-11,5135.97,1
916430372878,1981-02,3374.46,1
916430372878,1984-04,8134.97,1
916430372878,1995-03,1559.81,1
916430372878,2005-11,5174.26,1
916430372878,2010-01,6580.91,1
916430372878,2010-03,2588.96,1
916430372878,NaT,14970.06,0
916431494396,1978-11,2152.46,1
916431494396,1984-02,7419.9,1
916431494396,1991-03,4140.57,1
916431494396,2013-11,9845.47,1
916431494396,2017-05,6489.04,1
916431494396,NaT,0.0,0
916433705141,1978-01,6083.29,1
916433705141,1981-08,5964.32,1
916433705141,1999-03,9005.67,1
916433705141,2004-01,4181.89,1
916433705141,2012-12,8632.43,1
916433705141,2025-03,9846.43,1
916433705141,NaT,7153.64,0
916441128454,1977-04,8351.74,1
916441128454,1977-09,1442.25,1
916441128454,1982-02,5228.7,1
916441128454,1983-05,9595.13,1
916441128454,1989-03,4700.85,1
916441128454,1989-06,9648.66,1
916441128454,2007-09,8159.96,1
916441128454,2021-11,9478.31,1
916441973220,1973-01,1201.76,1
916441973220,1979-08,5415.85,1
916441973220,1984-12,2742.68,1
916441973220,1989-08,7716.37,1
916441973220,1990-12,7746.69,1
916441973220,1995-02,6656.34,1
916441973220,2006-07,101.45,1
916441973220,2010-10,1509.5,1
916441973220,2021-10,6699.08,1
916441973220,2023-05,8335.03,1
916444900634,1973-03,7140.33,1
916444900634,1983-01,6205.92,1
916444900634,2005-05,8777.37,1
916444900634,2009-06,4449.21,1
916444900634,2012-12,0.0,1
916444900634,2015-11,8525.78,1
916444961037,2008-12,2737.04,1
916444961037,2011-04,9411.15,1
916444961037,2019-03,5182.53,1
916444961037,NaT,9676.68,0
916446362270,1972-07,1751.39,1
916446362270,1974-12,8814.23,1
916446362270,1977-11,9204.88,1
916446362270,1986-05,9339.95,1
916446362270,1988-08,5821.66,1
916446362270,2002-09,6918.22,1
916446362270,2019-07,6418.61,1
916446457642,1970-10,7538.96,1
916446457642,1980-08,3705.45,1
916446457642,1990-02,635.18,1
916446457642,1997-02,8402.39,1
916446457642,1997-06,9815.67,1
916446457642,2001-03,3056.58,1
916446457642,2003-12,6034.86,1
916446457642,2011-03,1033.44,1
916446457642,2012-12,5408.15,1
916446457642,2024-07,7867.68,1
916469306919,1979-01,8569.82,1
916469306919,1986-08,8660.24,1
916469306919,1986-09,1067.92,1
916469306919,1986-11,3151.64,1
916469306919,1997-11,8889.52,1
916469306919,2007-01,4976.97,1
916469306919,2024-07,8694.78,1
916486237535,1988-01,3805.22,1
916486237535,1991-02,2110.24,1
916486237535,1999-02,3292.53,1
916486237535,2005-10,7234.9,1
916486237535,2009-11,7515.95,1
916486237535,NaT,20293.7,0
916487258103,1976-06,111.95,1
916487258103,1978-03,4095.31,1
916487258103,1984-06,938.1,1
916487258103,1989-01,0.0,1
916487258103,2008-09,1029.73,1
916487258103,2019-02,287.57,1
916488842470,1982-10,7120.65,1
916488842470,1986-10,5631.38,1
916488842470,1993-04,1350.55,1
916488842470,NaT,1577.37,0
916491404673,1973-07,716.13,1
916491404673,1976-08,6982.75,1
916491404673,1976-09,265.64,1
916491404673,1979-09,9825.67,1
916491404673,1985-10,9528.9,1
916491404673,1994-01,7466.07,1
916491404673,2016-10,6421.76,1
916491404673,NaT,12084.54,0
916496107065,1986-07,6809.07,1
916496107065,1992-05,8340.34,1
916496107065,1994-12,9538.43,1
916496107065,1996-11,8709.82,1
916496107065,1999-02,8599.72,1
916496107065,1999-06,8933.23,1
916496107065,2000-09,9087.48,1
916496107065,2007-12,5173.33,1
916496107065,2016-08,9506.05,1
916504513251,1970-09,3031.93,1
916504513251,1998-01,5344.18,1
916504513251,1998-09,0.0,1
916504513251,2003-01,3086.29,1
916504513251,2009-10,289.93,1
916504513251,NaT,6262.73,0
916507771858,1970-06,5007.6,1
916507771858,1972-07,7359.13,1
916507771858,1974-03,2991.45,1
916507771858,1974-09,7832.75,1
916507771858,1976-07,5925.91,1
916507771858,1986-06,1278.84,1
916507771858,2004-11,9365.77,1
916507771858,2023-04,0.0,1
916507771858,NaT,7170.27,0
916508119378,1972-03,4854.26,1
916508119378,1972-10,617.07,1
916508119378,1978-10,3805.3,1
916508119378,1983-10,7766.37,1
916508119378,1989-02,7056.18,1
916508119378,2005-07,234.6,1
916508119378,2007-10,9171.07,1
916508119378,2014-06,4348.84,1
916512620717,1975-06,7241.31,1
916512620717,1977-06,8304.61,1
916512620717,1979-03,3384.23,1
916512620717,1979-10,301.12,1
916512620717,2009-03,8707.79,1
916512620717,2010-09,0.0,1
916512620717,2014-01,351.57,1
916512620717,2016-04,9116.53,1
916512620717,2020-04,8352.83,1
916513483708,1984-05,3083.54,1
916513483708,2002-04,0.0,1
916513483708,2016-02,2004.04,1
916513483708,2020-08,5853.29,1
916513483708,2021-03,9563.37,1
916513483708,NaT,6841.95,0
916518599264,1979-01,452.86,1
916518599264,1986-11,7932.07,1
916518599264,1987-01,1655.18,1
916518599264,2003-11,269.74,1
916518599264,2014-12,6798.35,1
916518599264,NaT,2183.38,0
916530836767,1974-02,4220.85,1
916530836767,1992-05,9075.21,1
916530836767,1997-10,4169.96,1
916530836767,2010-12,0.0,1
916530836767,2011-09,5283.73,1
916530836767,2019-09,1066.79,1
916530836767,NaT,20846.7,0
916542223599,1971-03,5042.06,1
916542223599,2002-12,3455.5,1
916542223599,2015-11,3712.07,1
916542223599,NaT,1805.66,0
916546951552,1983-03,6371.47,1
916546951552,1992-10,9352.13,1
916546951552,1998-08,4006.17,1
916546951552,2001-07,8507.42,1
916546951552,2010-07,985.04,1
916546951552,2019-09,2869.61,1
916546951552,NaT,1707.35,0
916546957087,1971-03,1553.46,1
916546957087,1989-12,5026.28,1
916546957087,2021-08,3073.81,1
916546957087,2021-12,4549.94,1
916546957087,NaT,7400.08,0
916551395583,1970-03,989.88,1
916551395583,1973-05,0.0,1
916551395583,1977-05,1765.32,1
916551395583,1978-12,5493.98,1
916551395583,1983-08,1695.03,1
916551395583,2004-12,0.0,1
916551395583,2007-09,1856.64,1
916551395583,2014-07,8040.34,1
916551395583,2022-09,7154.73,1
916551395583,2023-04,9684.67,1
916551437149,1996-05,8140.52,1
916551437149,1997-09,5603.87,1
916551437149,2012-11,5217.17,1
916560448350,1980-11,3548.82,1
916560448350,1981-09,0.0,1
916560448350,1998-09,6069.95,1
916560448350,2005-03,959.47,1
916560448350,2018-10,8501.15,1
916561160362,1995-05,5423.23,1
916561160362,2001-07,5539.8,1
916561160362,2019-09,4508.54,1
916561160362,2019-10,1076.05,1
916561387824,1972-05,8253.64,1
916561387824,1979-03,2333.87,1
916561387824,1986-10,5937.0,1
916561387824,1993-10,1335.84,1
916561387824,1995-07,1408.78,1
916561387824,2008-08,5754.81,1
916561387824,2019-10,5516.31,1
916561387824,2020-08,3951.36,1
916561387824,NaT,1383.86,0
916566862173,1998-03,6924.58,1
916566862173,2014-06,839.26,1
916566862173,2016-08,820.14,1
916566862173,2017-08,4387.39,1
916566862173,NaT,19633.4,0
916569113257,1970-10,1173.73,1
916569113257,1970-11,8107.67,1
916569113257,1975-04,4464.7,1
916569113257,1975-05,1092.82,1
916569113257,1989-09,2044.42,1
916569113257,2018-08,6570.7,1
916569113257,2022-05,6399.43,1
916569113257,NaT,8580.5,0
916569132884,1988-07,6875.67,1
916569132884,1998-03,4793.26,1
916569132884,2003-02,0.0,1
916569132884,2007-02,3480.35,1
916569132884,2016-02,4979.37,1
916569132884,2021-04,7141.33,1
916569132884,NaT,7863.95,0
916573673552,1972-01,240.41,1
916573673552,2006-04,7418.55,1
916573673552,2012-01,6178.09,1
916573673552,NaT,3895.34,0
916574621243,1990-02,7467.08,1
916574621243,2007-01,7486.78,1
916574621243,2025-01,2685.4,1
916574621243,NaT,5246.84,0
916575301286,1970-02,1835.54,1
916575301286,1991-08,5446.07,1
916575301286,2004-05,2820.81,1
916575301286,2015-06,3682.54,1
916575301286,2017-05,7244.35,1
916575301286,2023-05,9563.17,1
916575301286,NaT,16914.43,0
916586055431,1971-07,4589.55,1
916586055431,1971-12,2864.55,1
916586055431,1974-08,645.27,1
916586055431,2011-08,2872.86,1
916586055431,NaT,4884.27,0
916589112843,1989-07,5955.37,1
916589112843,2001-02,9253.29,1
916589112843,2020-04,9093.74,1
916589112843,NaT,8948.97,0
916589582865,1971-09,8008.87,1
916589582865,1977-11,4243.84,1
916589582865,1983-10,8373.18,1
916589582865,1989-09,9039.88,1
916589582865,NaT,7651.42,0
916592135522,1999-12,8225.89,1
916592135522,2001-09,9226.58,1
916592135522,2003-06,9108.51,1
916592135522,2014-08,6996.13,1
916592135522,2018-09,5884.19,1
916592135522,NaT,3815.45,0
916596110070,1970-04,4917.74,1
916596110070,1994-09,162.23,1
